epoch,layer,update_to_weight_ratio
0,_orig_mod.pos_encoding,0.003674228972200088
0,_orig_mod.input_proj.weight,0.04429239089136481
0,_orig_mod.input_proj.bias,1.0
0,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.12295124482143391
0,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,1.0
0,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.09693249467686733
0,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,1.0
0,_orig_mod.transformer.layers.0.linear1.weight,0.10116688009950874
0,_orig_mod.transformer.layers.0.linear1.bias,1.0
0,_orig_mod.transformer.layers.0.linear2.weight,0.1057532574133862
0,_orig_mod.transformer.layers.0.linear2.bias,1.0
0,_orig_mod.transformer.layers.0.norm1.weight,0.008456138689388711
0,_orig_mod.transformer.layers.0.norm1.bias,1.0
0,_orig_mod.transformer.layers.0.norm2.weight,0.008315527991559523
0,_orig_mod.transformer.layers.0.norm2.bias,1.0
0,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.12690449610164528
0,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,1.0
0,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.11672673529015694
0,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,1.0
0,_orig_mod.transformer.layers.1.linear1.weight,0.1219367318469354
0,_orig_mod.transformer.layers.1.linear1.bias,1.0
0,_orig_mod.transformer.layers.1.linear2.weight,0.2325637858435336
0,_orig_mod.transformer.layers.1.linear2.bias,1.0
0,_orig_mod.transformer.layers.1.norm1.weight,0.011509078304226811
0,_orig_mod.transformer.layers.1.norm1.bias,1.0
0,_orig_mod.transformer.layers.1.norm2.weight,0.01777860382866514
0,_orig_mod.transformer.layers.1.norm2.bias,1.0
0,_orig_mod.output.weight,0.12528295561678118
0,_orig_mod.output.bias,1.0
0,AGGREGATE,0.0557821233228345
1,_orig_mod.pos_encoding,0.002104882660871469
1,_orig_mod.input_proj.weight,0.01624468833711919
1,_orig_mod.input_proj.bias,0.09580295383693502
1,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.022504124637776714
1,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.12404167795055655
1,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.02280771789362193
1,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.10162129235698412
1,_orig_mod.transformer.layers.0.linear1.weight,0.026083326887973463
1,_orig_mod.transformer.layers.0.linear1.bias,0.17197813421781624
1,_orig_mod.transformer.layers.0.linear2.weight,0.028201783430572173
1,_orig_mod.transformer.layers.0.linear2.bias,0.12879739625173317
1,_orig_mod.transformer.layers.0.norm1.weight,0.002591553875346349
1,_orig_mod.transformer.layers.0.norm1.bias,0.12185323983636336
1,_orig_mod.transformer.layers.0.norm2.weight,0.002966946465480694
1,_orig_mod.transformer.layers.0.norm2.bias,0.16485046519026886
1,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.042988222076607546
1,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.260615374209153
1,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.04161070018678162
1,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.22256397977160375
1,_orig_mod.transformer.layers.1.linear1.weight,0.05330350022131779
1,_orig_mod.transformer.layers.1.linear1.bias,0.3423233013863156
1,_orig_mod.transformer.layers.1.linear2.weight,0.17031691613503322
1,_orig_mod.transformer.layers.1.linear2.bias,0.40547455237866115
1,_orig_mod.transformer.layers.1.norm1.weight,0.004820947924234132
1,_orig_mod.transformer.layers.1.norm1.bias,0.2662332643070912
1,_orig_mod.transformer.layers.1.norm2.weight,0.012538626920266615
1,_orig_mod.transformer.layers.1.norm2.bias,0.5639498210324912
1,_orig_mod.output.weight,0.07602586831138558
1,_orig_mod.output.bias,0.6672582200736337
1,AGGREGATE,0.029988518230539447
2,_orig_mod.pos_encoding,0.002116454078052499
2,_orig_mod.input_proj.weight,0.015513729768340749
2,_orig_mod.input_proj.bias,0.09147583687458408
2,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.024489580245264576
2,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.1338766287431579
2,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.02064825584211789
2,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.09007387560466737
2,_orig_mod.transformer.layers.0.linear1.weight,0.02490812569916212
2,_orig_mod.transformer.layers.0.linear1.bias,0.14796368356688175
2,_orig_mod.transformer.layers.0.linear2.weight,0.02724697175854119
2,_orig_mod.transformer.layers.0.linear2.bias,0.09740862845824866
2,_orig_mod.transformer.layers.0.norm1.weight,0.002625530665192966
2,_orig_mod.transformer.layers.0.norm1.bias,0.09735551628450273
2,_orig_mod.transformer.layers.0.norm2.weight,0.0029186234108092824
2,_orig_mod.transformer.layers.0.norm2.bias,0.13233257394012465
2,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.03500668627234981
2,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.19668105027062457
2,_orig_mod.transformer.layers.1.self_attn.out_proj.weight,0.03151541038601232
2,_orig_mod.transformer.layers.1.self_attn.out_proj.bias,0.1526422730343137
2,_orig_mod.transformer.layers.1.linear1.weight,0.04566457243745154
2,_orig_mod.transformer.layers.1.linear1.bias,0.2685404564204134
2,_orig_mod.transformer.layers.1.linear2.weight,0.10243955626310855
2,_orig_mod.transformer.layers.1.linear2.bias,0.18960016448114092
2,_orig_mod.transformer.layers.1.norm1.weight,0.004162408741667584
2,_orig_mod.transformer.layers.1.norm1.bias,0.1630093352296959
2,_orig_mod.transformer.layers.1.norm2.weight,0.009031135745609618
2,_orig_mod.transformer.layers.1.norm2.bias,0.2882128852548672
2,_orig_mod.output.weight,0.058083420020164866
2,_orig_mod.output.bias,6.715633954565247
2,AGGREGATE,0.02049285627042315
3,_orig_mod.pos_encoding,0.002098069192806853
3,_orig_mod.input_proj.weight,0.02834704801240211
3,_orig_mod.input_proj.bias,0.1023964769655322
3,_orig_mod.transformer.layers.0.self_attn.in_proj_weight,0.021880347226860167
3,_orig_mod.transformer.layers.0.self_attn.in_proj_bias,0.12572176273868946
3,_orig_mod.transformer.layers.0.self_attn.out_proj.weight,0.01982985044283718
3,_orig_mod.transformer.layers.0.self_attn.out_proj.bias,0.09850896300739037
3,_orig_mod.transformer.layers.0.linear1.weight,0.02078265388639581
3,_orig_mod.transformer.layers.0.linear1.bias,0.12943840264764872
3,_orig_mod.transformer.layers.0.linear2.weight,0.023603297810240974
3,_orig_mod.transformer.layers.0.linear2.bias,0.10176698342781883
3,_orig_mod.transformer.layers.0.norm1.weight,0.002545373568190856
3,_orig_mod.transformer.layers.0.norm1.bias,0.10561671629433302
3,_orig_mod.transformer.layers.0.norm2.weight,0.0029853219411350345
3,_orig_mod.transformer.layers.0.norm2.bias,0.1252707933811778
3,_orig_mod.transformer.layers.1.self_attn.in_proj_weight,0.030946184769846206
3,_orig_mod.transformer.layers.1.self_attn.in_proj_bias,0.17772813647751945
